Stock Symbol,name,url,content,description,apiSource,date
AAPL,"Apple Stock Sets New All-Time High, Closes at $300 Per Share",https://www.macrumors.com/2020/01/02/apple-stock-new-all-time-high-300/,"Tim Cook may be in the running for best CEO of all time. Why?For you haters, Tim Cook has now added $1,000,000,000,000 (1 Trillion dollars) in shareholder value since taking over for Steve Jobs.
This has been absolutely phenomenal to watch come to fruition. … [+186 chars]","Apple shares today hit a new all-time high and reached a closing price of $300 following yesterday's New Year's holiday, marking significant growth over the course of the last year. In early January 2019, Apple shares were at $144 after Apple lowered its reve…",NewsAPI,2020-01-02
AAPL,"Apple gains for a third day, putting it on track for its best yearly performance since 2009 (AAPL)",https://markets.businessinsider.com/news/stocks/apple-stock-price-gains-record-track-best-year-since-2009-2019-12-1028785252,"AP Photo/Richard Drew
<ul><li>Apple gained as much as 1.7% during the day Thursday, the third straight day of gains for the company this week.</li><li>The increase has solidified that Apple is on track for its best year since 2009. </li><li>Apple has gained … [+1454 chars]","Apple gained as much as 1.7% during the day Thursday, the third straight day of gains for the company this week. The increase has solidified that Apple is on track for its best year since 2009. Apple has gained roughly 80% this year and added about $530 billi…",NewsAPI,2019-12-26
AAPL,"Dow Jones Futures: As Stock Market Rally Tests Limits; Don't Buy Apple, Tesla, AMD, Luckin Coffee, Alibaba Now - Investor's Business Daily",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-tests-limits-dont-buy-apple-tesla-amd-luckin-coffee-alibaba/,"Dow Jones futures rose slightly late Thursday, along with S&amp;P 500 futures and Nasdaq futures. The stock market rally hit fresh highs Thursday, with the Nasdaq composite hitting the top of its channel. That gives an extra reason to avoid buying Apple (AAPL… [+5785 chars]","Dow Jones Futures: As Stock Market Rally Tests Limits; Don't Buy Apple, Tesla, AMD, Luckin Coffee, Alibaba Now Investor's Business Daily View full coverage on Google News",NewsAPI,2020-01-09
AAPL,"Dow Jones Winners Of 2019 Include Apple, Microsoft, Visa, JPMorgan, United Technologies - Investor's Business Daily",https://www.investors.com/news/dow-jones-winners-2019-apple-stock-microsoft-visa-jpmorgan-united-technologies/,"The Dow Jones Industrial Average is up 22% in 2019, but iPhone maker Apple (AAPL) stands out from the crowd, while Microsoft (MSFT), JPMorgan Chase (JPM), Visa (V) and United Technologies (UTX) round out the top five.
XTop 5 Dow Jones Stocks For 2019
<ul><l… [+5813 chars]","Dow Jones Winners Of 2019 Include Apple, Microsoft, Visa, JPMorgan, United Technologies Investor's Business Daily Wall Street slips from record levels as traders book profits Reuters Wall Street slips from records as investors lock in year-end gains Investing…",NewsAPI,2019-12-30
AAPL,Deutsche Bank: AAPL 2020 performance won’t match 2019; will beat expectations,https://9to5mac.com/2020/01/07/aapl-2020-performance/,"Deutsche Bank has made the rather safe prediction that AAPL 2020 performance won’t match 2019.
AAPL gained 86% in value last year, its best performance since 2009, opening the year at $300. If it repeated that trick this year, that would see it sitting at $5… [+1789 chars]","Deutsche Bank has made the rather safe prediction that AAPL 2020 performance won’t match 2019. AAPL gained 86% in value last year, its best performance since 2009, opening the year at $300. If it repeated that trick this year, that would see it sitting at $55…",NewsAPI,2020-01-07
AAPL,Apple Card partner bank thinks AAPL will lose a third of its value this year,https://9to5mac.com/2020/01/06/apple-card-partner-bank/,"Apple Card partner bank Goldman Sachs is again pessimistic about AAPL, predicting that the stock will lose one-third of its value this year.
The company previously predicted a 26% hit to the stock…
Goldman’s previous suggestion was based on the idea that Ap… [+3201 chars]","Apple Card partner bank Goldman Sachs is again pessimistic about AAPL, predicting that the stock will lose a third of its value this year. The company previously predicted a 26% hit to the stock … more… Check out 9to5Mac on YouTube for more Apple news: The po…",NewsAPI,2020-01-06
AAPL,AAPL was top pick for investors in Samsung’s home market of South Korea,https://9to5mac.com/2020/01/06/top-pick-for-investors/,"AAPL was the top pick for investors in Samsung’s home market of South Korea during the final quarter of 2019, according to the Korea Securities Depository (KSD)…
The Korea Herald reports that local investors bought almost $60M worth of the stock, even after … [+1758 chars]","AAPL was the top pick for investors in Samsung’s home market of South Korea during the final quarter of 2019, according to the Korea Securities Depository (KSD)… more… Check out 9to5Mac on YouTube for more Apple news: The post AAPL was top pick for investors …",NewsAPI,2020-01-06
AAPL,Tim Cook donates $2 million worth of AAPL shares to undisclosed charity,https://9to5mac.com/2020/01/02/tim-cook-donates-2-million-worth-of-aapl-shares-to-undisclosed-charity/,"According to a new Securities and Exchange Commission filing, Apple CEO Tim Cook donated over 6,000 shares of AAPL to an undisclosed charity last week. Those shares, based on the closing price of Apple stock on that day, are valued at nearly $2 million.
Acco… [+1208 chars]","According to a new Securities and Exchange Commission filing, Apple CEO Tim Cook donated over 6,000 shares of AAPL to an undisclosed charity last week. Those shares, based on the closing price of Apple stock on that day, are valued at nearly $2 million. more……",NewsAPI,2020-01-03
AAPL,"AAPL closes in on $300, 1/3 of the way to its next trillion, and double 2019 low",https://9to5mac.com/2020/01/02/apple-closes-in-on-300-a-share/,"With the US stock markets closed on New Year’s Day, today, January 2nd is the first day of trading for 2020 and AAPL has continued its steady growth moving toward $300 a share. That’s over a 100% growth from the January 2019 low of $142.19 after Apple issued … [+1496 chars]","With the US stock markets closed on New Year’s Day, today, January 2nd is the first day of trading for 2020 and AAPL has continued its steady growth moving toward $300 a share. That’s over a 100% growth from the January 2019 low of $142.19 after Apple issued …",NewsAPI,2020-01-02
AAPL,"[Update: 2019 Apple exec compensation, more] Tim Cook donates $2 million worth of AAPL shares to undisclosed charity",https://9to5mac.com/2020/01/03/tim-cook-donates-2-million-worth-of-aapl-shares-to-undisclosed-charity/,"According to a new Securities and Exchange Commission filing, Apple CEO Tim Cook donated over 6,000 shares of AAPL to an undisclosed charity last week. Those shares, based on the closing price of Apple stock on that day, are valued at nearly $2 million.
Appl… [+2737 chars]","According to a new Securities and Exchange Commission filing, Apple CEO Tim Cook donated over 6,000 shares of AAPL to an undisclosed charity last week. Those shares, based on the closing price of Apple stock on that day, are valued at nearly $2 million. Apple…",NewsAPI,2020-01-03
